ID,Age,Gender,Ethnicity,Education,Round9,True Average,P1,P2,P3,P4,P5,P6,P7,P8,P9,P12,P13,P14
1,3,1,White,7,10.34,11.018,11.34,10,10,10,10,10,50,12,11.018,9,10,11
3,10,1,Asian,7,16.24,40.103,10.24,15,15,16,17,14,10,19,40.103,20,18,16.55
16,6,1,White,7,20.07,29.099,23.07,15,18,20,20,22,20,17,29.099,18,25,21
19,5,0,White,7,17.47,16.564,20.47,18,15,18,19,18.3,9,14,16.564,19,19,17.5
21,4,0,Black,7,43.14,18.93,40.14,30,30,43,30,35.3,16,29,18.93,37,40,41.3
22,5,0,White,7,6.11,8.273,10.11,8,8,7,9,8,18,9,8.273,9,7,7.3
28,5,0,White,7,9.72,14.71,12.72,10,9,10,7,12.2,14,12,14.71,11,10,10.1
34,5,0,White,7,15.94,20.325,19.94,16,10,16,18,16,11,13,20.325,14.5,17,16
36,12,1,White,7,17.53,35.944,25.53,18,25,18,23,18.7,15,17,35.944,20,20,18
60,4,1,White,7,7.97,10.062,7.12,10,9,10,8.91,91.7,12.43,20.15,6,,,
62,6,0,White,7,92.01,74.73,62.39,85,50,60,87.5,19.04,11.82,14.03,90,,,
68,4,0,Black,7,96.54,63.43,68.92,85,56,25,95.23,15.54,8.75,27.08,92,,,
71,4,1,White,7,17.09,16.288,15.04,15,17,15,18.12,8.46,25.7,25.17,13,,,
81,6,0,White,7,19.04,13.513,16.71,25,17,25,24.35,10.06,7.6,27.31,16,,,
15,6,1,White,2,12.79,12.95,15.5,13,20,13,10,15,15.55,12,12.95,15.5,15,13.3
25,11,1,White,2,22.97,25.624,25.97,20,35,23,18,30,25,20,25.624,25,24,23
33,4,0,White,2,6.03,13.313,8.03,8,10,6,8,10,9.03,10,13.313,9,7,8
50,3,1,Black,2,12.23,14.47,11.12,10,15,12,12.5,19.66,20.11,20.23,11,,,
51,5,1,White,2,11.13,8.194,10.11,15,14,11,15.42,16.3,21.75,10.15,10,,,
57,9,0,White,2,91.7,66.519,79.21,80,61,150,92.8,26.24,33.7,19.18,90,,,
64,3,1,White,2,16.31,13.794,14.89,20,18,15,17.58,16.31,11.2,27.25,14,,,
67,10,0,White,2,27.71,29.847,24.31,30,25,35,32.75,23.95,12.75,9.07,24,,,
83,3,1,Black,2,10.45,17.997,12.01,8,13,10,10.45,7.97,16.4,9.27,9,,,
2,7,0,White,2,10.5,11.226,11.5,11,20,11,9,12,12.5,13,11.226,10,10,11
8,4,0,Asian,5,7.59,9.075,10.5,8,10,8,7,8.2,16.55,9,9.075,9.5,8,9.2
9,4,0,Black,5,41.42,18.157,45.5,30,35,41,33,34.3,15,29,18.157,43,45,40
10,4,0,Hispanic,5,9.91,9.326,12.5,10,15,10,8,14.1,10,11,9.326,11,10,10
12,5,0,White,5,11.98,17.105,12.95,12,20,12,13,13,25,13.5,17.105,12,13,12.3
13,5,1,White,5,20.15,23.019,25.5,20,20,20,13,18,16,17,23.019,19,20,19
17,5,1,White,5,11.32,15.091,15.32,12,15,11,13,14,16,12,15.091,10,15,12.5
18,4,0,White,5,16.61,14.919,18.61,17,15,17,18,16,10,15,14.919,11,18,16.6
23,6,1,White,5,17.55,13.756,18.55,17,25,18,23,18.2,16,16,13.756,16,19,18
24,4,0,White,5,14.18,13.986,16.18,15,20,14,11,15.2,9.5,14,13.986,17,15,15.6
29,4,0,White,5,24.08,16.802,20.08,20,24,24,20,25.8,13,18,16.802,25,20,22.3
30,4,0,Asian,5,17.62,11.949,18.62,17,20,18,16,16.3,12,15,11.949,19,18,17.4
35,5,0,White,5,92.32,60.114,98.32,60,45,92,85,45.6,16,60,60.114,87,80,91
39,7,0,White,5,16.95,14.938,18.95,16,25,17,16,15.3,12,14,14.938,14.5,17,17.1
40,11,0,White,5,15.05,11.738,20.05,15,25,15,17,14,10,17,11.738,15,17,15.55
42,4,0,Hispanic,5,8.79,8.342,10.79,10,15,9,7,9,10,10,8.342,10,9,9
43,4,0,White,5,16.42,19.335,21.23,21,17,15,16.54,12.23,12.24,15.11,13,,,
44,7,1,White,5,8.46,11.714,9.21,12,11,20,17.57,92.01,14.3,12.16,7,,,
45,3,1,White,5,5.36,7.442,6.14,8,19,8,7.65,12.19,14.38,10.37,4,,,
46,10,1,White,5,21.25,21.7,20.03,27,20,40,42.35,27.71,8,20.12,20,,,
53,5,1,Black,5,15.54,19.005,14.62,18,16,15,19.25,14.4,10.96,20.17,13,,,
54,4,1,White,5,13.63,16.038,15.72,15,15,10,15.01,8.79,11.4,25.22,12,,,
55,3,0,Asian,5,24.17,28.141,21.1,21,21,15,19.25,17.5,9.8,17.2,20,,,
59,10,1,White,5,19.66,27.118,21.01,25,20,30,15.15,16.42,8.75,18.11,17,,,
65,7,1,White,5,12.19,18.855,15.62,13,15,12,11.95,12.67,35.1,35.67,11,,,
69,3,0,Asian,5,16.3,15.902,17.73,12,18,15,14.53,13.63,9.75,35.31,14,,,
70,3,1,Asian,5,7.89,9.468,9.64,10,9,5,8.29,14.58,15.6,20.45,6,,,
72,9,0,White,5,17.5,20.639,21.03,20,17,25,31.5,16.66,12.5,10.05,15,,,
73,9,0,White,5,21.86,17.09,25.72,22,20,30,25.57,24.17,10.75,15.14,20,,,
74,3,1,White,5,13.15,12.513,11.03,15,15,10,13.5,13.15,12.03,15.39,11,,,
75,5,0,White,5,22.17,22.526,24.31,21,19,20,20.43,4.56,13.4,11.17,21,,,
76,3,1,Asian,5,14.4,8.683,11.62,12,15,14,12.58,68.56,16.7,12.11,12,,,
5,4,0,Hispanic,6,23.41,23.257,20.5,20,30,23,25,25.3,16,18,23.257,25,21,23
11,5,0,White,6,8.72,8.851,9.5,10,15,9,6,7.5,10.5,11,8.851,10,9,10
31,4,0,White,6,10.85,11.919,12.85,11,15,11,11,10,15,12,11.919,11.5,10,12
48,3,0,White,6,68.56,41.919,58.27,50,45,40,23.75,32.52,20.21,7.45,60,,,
79,11,1,White,6,41.71,27.905,38.99,30,32,50,40.5,22.17,8.5,37.48,39,,,
58,1,0,Middle Easter,1,4.38,5.619,7.81,7,10,10,6.75,82.03,11.75,15.23,3,,,
6,7,1,Black,4,11.29,14.274,13.29,12,25,11,10,12.5,8,14,14.274,10,10,12
7,4,0,White,4,13.1,10.323,12.5,14,25,13,9,12.7,11,14,10.323,15,15,14
14,4,0,White,4,15.23,11.264,20.5,15,18,15,12,14.2,14,15,11.264,13,16,15.3
26,10,1,White,4,7.63,9.949,9.63,8,15,8,5,9.3,11.02,15,9.949,10,8,9.5
32,4,0,White,4,24.58,15.708,28.58,20,20,25,20,23.2,15,19,15.708,26,26,24.3
38,6,0,White,4,9.48,9.791,10.48,10,16,10,12,14.2,14.6,12.5,9.791,10.5,8,16.1
41,5,1,White,4,13.04,12.553,16.04,13,25,13,12,17.1,22,14,12.553,14,15,13.55
47,6,0,White,4,22.8,20.586,19.82,28,19,25,25.1,10.45,14.4,17.16,21,,,
49,3,0,White,4,26.24,23.009,20.12,30,23,20,20.57,4.38,9.8,21.28,22,,,
52,3,1,Black,4,4.56,8.048,7.92,7,8,5,7.89,11.13,7.75,17.68,3,,,
56,3,1,White,4,23.95,23.01,20.09,27,21,20,24.15,21.48,11.5,10.61,21,,,
61,3,1,Black,4,14.58,14.195,16.39,18,15,10,15.15,41.71,7,18.16,12,,,
63,3,1,White,4,10.06,13.45,12.19,15,11,10,10.07,21.25,9.5,26.28,9,,,
66,3,0,Black,4,16.66,13.149,12.32,12,18,10,17.53,21.86,10,10.08,11,,,
77,5,0,White,4,32.52,20.402,28.92,40,25,30,30.57,17.09,31.11,19.08,32,,,
80,9,1,White,4,12.67,11.644,17.37,11,15,20,13.15,7.89,14.7,17.48,11,,,
82,7,1,White,4,82.03,33.87,65.37,60,42,35,65.78,5.36,14.75,12.48,80,,,
4,9,1,White,3,14.78,16.109,25.5,15,20,15,15,16,12,17,16.109,15.5,15,15.4
20,4,1,White,3,20.61,19.785,25.61,20,30,21,17,19.2,20,16,19.785,18,18,19.1
27,8,1,White,3,26.12,22.648,29.12,25,30,26,21,30,11,24,22.648,30,25,27.2
37,6,1,White,3,12.24,16.089,15.25,13,15,12,14,14.5,18,13,16.089,10,15,13
78,9,0,White,3,21.48,23.545,27.93,25,23,35,31.15,22.8,9.72,16.15,20,,,
